연도,구,행정동,총인구,남자,여자
2016,단원구,고잔동,20964,10562,10402
2016,단원구,대부동,8171,4267,3904
2016,단원구,백운동,5847,3077,2770
2016,단원구,선부1동,12861,6644,6217
2016,단원구,선부2동,22633,12211,10422
2016,단원구,선부3동,35602,18198,17404
2016,단원구,신길동,16409,8242,8167
2016,단원구,와동,44747,23489,21258
2016,단원구,원곡동,33004,17880,15124
2016,단원구,중앙동,21884,10860,11024
2016,단원구,초지동,43008,21956,21052
2016,단원구,호수동,48872,24529,24343
2016,상록구,반월동,20266,10290,9976
2016,상록구,본오1동,43591,22369,21222
2016,상록구,본오2동,30631,15122,15509
2016,상록구,본오3동,23437,11663,11774
2016,상록구,부곡동,24243,12372,11871
2016,상록구,사동,38752,20104,18648
2016,상록구,사이동,35761,18071,17690
2016,상록구,성포동,26652,13124,13528
2016,상록구,안산동,10079,5225,4854
2016,상록구,월피동,45366,23218,22148
2016,상록구,이동,28988,15303,13685
2016,상록구,일동,28258,14340,13918
2016,상록구,해양동,19833,10278,9555
2017,단원구,고잔동,20883,10461,10422
2017,단원구,대부동,8370,4384,3986
2017,단원구,백운동,19816,10088,9728
2017,단원구,선부1동,11639,6000,5639
2017,단원구,선부2동,21966,11913,10053
2017,단원구,선부3동,35177,17965,17212
2017,단원구,신길동,24889,13246,11643
2017,단원구,와동,44010,23104,20906
2017,단원구,원곡동,7704,4503,3201
2017,단원구,중앙동,21487,10666,10821
2017,단원구,초지동,42637,21811,20826
2017,단원구,호수동,48388,24342,24046
2017,상록구,반월동,19719,10011,9708
2017,상록구,본오1동,43250,22185,21065
2017,상록구,본오2동,30212,14951,15261
2017,상록구,본오3동,22882,11355,11527
2017,상록구,부곡동,24274,12430,11844
2017,상록구,사동,38273,19917,18356
2017,상록구,사이동,35135,17823,17312
2017,상록구,성포동,26387,13008,13379
2017,상록구,안산동,9958,5160,4798
2017,상록구,월피동,44518,22827,21691
2017,상록구,이동,28391,14998,13393
2017,상록구,일동,28311,14362,13949
2017,상록구,해양동,19434,10075,9359
2018,단원구,고잔동,21792,10938,10854
2018,단원구,대부동,8543,4482,4061
2018,단원구,백운동,18501,9416,9085
2018,단원구,선부1동,11601,5963,5638
2018,단원구,선부2동,20252,10997,9255
2018,단원구,선부3동,37354,19139,18215
2018,단원구,신길동,23880,12771,11109
2018,단원구,와동,41653,21915,19738
2018,단원구,원곡동,7084,4096,2988
2018,단원구,중앙동,24502,12148,12354
2018,단원구,초지동,42217,21602,20615
2018,단원구,호수동,46653,23492,23161
2018,상록구,반월동,19086,9671,9415
2018,상록구,본오1동,41487,21297,20190
2018,상록구,본오2동,29052,14411,14641
2018,상록구,본오3동,21732,10786,10946
2018,상록구,부곡동,23450,12059,11391
2018,상록구,사동,36034,18726,17308
2018,상록구,사이동,33819,17157,16662
2018,상록구,성포동,27661,13684,13977
2018,상록구,안산동,9530,4953,4577
2018,상록구,월피동,42080,21496,20584
2018,상록구,이동,26527,14070,12457
2018,상록구,일동,27235,13845,13390
2018,상록구,해양동,18618,9587,9031
2019,단원구,고잔동,22548,11325,11223
2019,단원구,대부동,8550,4472,4078
2019,단원구,백운동,19098,9716,9382
2019,단원구,선부1동,11387,5853,5534
2019,단원구,선부2동,18387,9999,8388
